matricula,ciclo,data_avaliacao,rating_performance,rating_potencial
100001,2021,2021-01-01,3,3
100002,2021,2021-01-01,3,3
100003,2021,2021-01-01,3,4
100004,2021,2021-01-01,3,3
100005,2021,2021-01-01,3,2
100006,2021,2021-01-01,4,4
100007,2021,2021-01-01,3,3
100008,2021,2021-01-01,3,2
100009,2021,2021-01-01,4,3
100010,2021,2021-01-01,5,4
100011,2021,2021-01-01,4,4
100012,2021,2021-01-01,3,1
100013,2021,2021-01-01,2,2
100014,2021,2021-01-01,3,3
100015,2021,2021-01-01,3,3
100017,2021,2021-01-01,3,3
100018,2021,2021-01-01,3,4
100019,2021,2021-01-01,4,3
100020,2021,2021-01-01,3,4
100021,2021,2021-01-01,3,4
100022,2021,2021-01-01,3,3
100023,2021,2021-01-01,3,4
100024,2021,2021-01-01,3,2
100025,2021,2021-01-01,3,2
100026,2021,2021-01-01,3,4
100027,2021,2021-01-01,3,3
100028,2021,2021-01-01,4,3
100029,2021,2021-01-01,3,3
100030,2021,2021-01-01,3,4
100031,2021,2021-01-01,3,1
100032,2021,2021-01-01,3,4
100033,2021,2021-01-01,2,2
100034,2021,2021-01-01,4,3
100036,2021,2021-01-01,2,4
100038,2021,2021-01-01,3,2
100039,2021,2021-01-01,3,3
100040,2021,2021-01-01,3,4
100041,2021,2021-01-01,3,2
100042,2021,2021-01-01,3,3
100043,2021,2021-01-01,3,3
100044,2021,2021-01-01,3,1
100045,2021,2021-01-01,3,2
100046,2021,2021-01-01,3,4
100047,2021,2021-01-01,3,2
100048,2021,2021-01-01,3,3
100049,2021,2021-01-01,4,4
100050,2021,2021-01-01,3,3
100051,2021,2021-01-01,4,3
100053,2021,2021-01-01,4,4
100054,2021,2021-01-01,3,2
100055,2021,2021-01-01,3,2
100056,2021,2021-01-01,3,3
100057,2021,2021-01-01,3,4
100058,2021,2021-01-01,4,2
100060,2021,2021-01-01,4,3
100061,2021,2021-01-01,3,5
100062,2021,2021-01-01,4,5
100063,2021,2021-01-01,4,4
100064,2021,2021-01-01,3,4
100066,2021,2021-01-01,3,3
100067,2021,2021-01-01,3,4
100068,2021,2021-01-01,3,2
100069,2021,2021-01-01,2,2
100070,2021,2021-01-01,2,2
100071,2021,2021-01-01,3,3
100072,2021,2021-01-01,4,4
100073,2021,2021-01-01,2,3
100074,2021,2021-01-01,4,3
100075,2021,2021-01-01,2,2
100076,2021,2021-01-01,4,4
100077,2021,2021-01-01,3,3
100078,2021,2021-01-01,4,5
100079,2021,2021-01-01,3,3
100080,2021,2021-01-01,3,3
100081,2021,2021-01-01,3,4
100082,2021,2021-01-01,4,3
100083,2021,2021-01-01,3,2
100084,2021,2021-01-01,4,4
100085,2021,2021-01-01,2,3
100087,2021,2021-01-01,3,3
100089,2021,2021-01-01,3,2
100090,2021,2021-01-01,2,3
100091,2021,2021-01-01,3,4
100092,2021,2021-01-01,3,4
100093,2021,2021-01-01,3,4
100094,2021,2021-01-01,4,3
100095,2021,2021-01-01,3,5
100096,2021,2021-01-01,3,3
100097,2021,2021-01-01,4,2
