data,id_data,id_mes,ano,mes,nome_mes,ano_mes,trimestre,semestre,dia_semana,eh_dia_util,ultimo_dia_mes
2021-01-01,20210101,202101,2021,1,Jan,Jan/21,T1,S1,4,True,False
2021-01-02,20210102,202101,2021,1,Jan,Jan/21,T1,S1,5,False,False
2021-01-03,20210103,202101,2021,1,Jan,Jan/21,T1,S1,6,False,False
2021-01-04,20210104,202101,2021,1,Jan,Jan/21,T1,S1,0,True,False
2021-01-05,20210105,202101,2021,1,Jan,Jan/21,T1,S1,1,True,False
2021-01-06,20210106,202101,2021,1,Jan,Jan/21,T1,S1,2,True,False
2021-01-07,20210107,202101,2021,1,Jan,Jan/21,T1,S1,3,True,False
2021-01-08,20210108,202101,2021,1,Jan,Jan/21,T1,S1,4,True,False
2021-01-09,20210109,202101,2021,1,Jan,Jan/21,T1,S1,5,False,False
2021-01-10,20210110,202101,2021,1,Jan,Jan/21,T1,S1,6,False,False
2021-01-11,20210111,202101,2021,1,Jan,Jan/21,T1,S1,0,True,False
2021-01-12,20210112,202101,2021,1,Jan,Jan/21,T1,S1,1,True,False
2021-01-13,20210113,202101,2021,1,Jan,Jan/21,T1,S1,2,True,False
2021-01-14,20210114,202101,2021,1,Jan,Jan/21,T1,S1,3,True,False
2021-01-15,20210115,202101,2021,1,Jan,Jan/21,T1,S1,4,True,False
2021-01-16,20210116,202101,2021,1,Jan,Jan/21,T1,S1,5,False,False
2021-01-17,20210117,202101,2021,1,Jan,Jan/21,T1,S1,6,False,False
2021-01-18,20210118,202101,2021,1,Jan,Jan/21,T1,S1,0,True,False
2021-01-19,20210119,202101,2021,1,Jan,Jan/21,T1,S1,1,True,False
2021-01-20,20210120,202101,2021,1,Jan,Jan/21,T1,S1,2,True,False
2021-01-21,20210121,202101,2021,1,Jan,Jan/21,T1,S1,3,True,False
2021-01-22,20210122,202101,2021,1,Jan,Jan/21,T1,S1,4,True,False
2021-01-23,20210123,202101,2021,1,Jan,Jan/21,T1,S1,5,False,False
2021-01-24,20210124,202101,2021,1,Jan,Jan/21,T1,S1,6,False,False
2021-01-25,20210125,202101,2021,1,Jan,Jan/21,T1,S1,0,True,False
2021-01-26,20210126,202101,2021,1,Jan,Jan/21,T1,S1,1,True,False
2021-01-27,20210127,202101,2021,1,Jan,Jan/21,T1,S1,2,True,False
2021-01-28,20210128,202101,2021,1,Jan,Jan/21,T1,S1,3,True,False
2021-01-29,20210129,202101,2021,1,Jan,Jan/21,T1,S1,4,True,False
2021-01-30,20210130,202101,2021,1,Jan,Jan/21,T1,S1,5,False,False
2021-01-31,20210131,202101,2021,1,Jan,Jan/21,T1,S1,6,False,True
2021-02-01,20210201,202102,2021,2,Fev,Fev/21,T1,S1,0,True,False
2021-02-02,20210202,202102,2021,2,Fev,Fev/21,T1,S1,1,True,False
2021-02-03,20210203,202102,2021,2,Fev,Fev/21,T1,S1,2,True,False
2021-02-04,20210204,202102,2021,2,Fev,Fev/21,T1,S1,3,True,False
2021-02-05,20210205,202102,2021,2,Fev,Fev/21,T1,S1,4,True,False
2021-02-06,20210206,202102,2021,2,Fev,Fev/21,T1,S1,5,False,False
2021-02-07,20210207,202102,2021,2,Fev,Fev/21,T1,S1,6,False,False
