id_cargo,ano,faixa_minima,faixa_mediana,faixa_maxima
TEC-1,2021,3024.0,3780.0,4536.0
TEC-2,2021,4536.0,5670.0,6804.0
TEC-3,2021,6844.5,8775.0,10705.5
TEC-4,2021,10003.5,12825.0,15646.5
TEC-5,2021,13668.75,18225.0,22781.25
TEC-6,2021,16200.0,21600.0,27000.0
TEC-7,2021,23328.0,32400.0,41472.0
TEC-8,2021,42525.0,60750.0,78975.0
JUR-1,2021,2688.0,3360.0,4032.0
JUR-2,2021,4032.0,5040.0,6048.0
JUR-3,2021,6084.0,7800.0,9516.0
JUR-4,2021,8892.0,11400.0,13908.0
JUR-5,2021,12150.0,16200.0,20250.0
JUR-6,2021,14400.0,19200.0,24000.0
JUR-7,2021,20736.0,28800.0,36864.0
JUR-8,2021,37800.0,54000.0,70200.0
FIN-1,2021,2576.0,3220.0,3864.0
FIN-2,2021,3864.0,4830.0,5796.0
FIN-3,2021,5830.5,7475.0,9119.5
FIN-4,2021,8521.5,10925.0,13328.5
FIN-5,2021,11643.75,15525.0,19406.25
FIN-6,2021,13800.0,18400.0,23000.0
FIN-7,2021,19872.0,27600.0,35328.0
FIN-8,2021,36225.0,51750.0,67275.0
COM-1,2021,2464.0,3080.0,3696.0
COM-2,2021,3696.0,4620.0,5544.0
COM-3,2021,5577.0,7150.0,8723.0
COM-4,2021,8151.0,10450.0,12749.0
COM-5,2021,11137.5,14850.0,18562.5
COM-6,2021,13200.0,17600.0,22000.0
COM-7,2021,19008.0,26400.0,33792.0
COM-8,2021,34650.0,49500.0,64350.0
MAR-1,2021,2240.0,2800.0,3360.0
MAR-2,2021,3360.0,4200.0,5040.0
MAR-3,2021,5070.0,6500.0,7930.0
MAR-4,2021,7410.0,9500.0,11590.0
MAR-5,2021,10125.0,13500.0,16875.0
MAR-6,2021,12000.0,16000.0,20000.0
MAR-7,2021,17280.0,24000.0,30720.0
MAR-8,2021,31500.0,45000.0,58500.0
REC-1,2021,2128.0,2660.0,3192.0
REC-2,2021,3192.0,3990.0,4788.0
REC-3,2021,4816.5,6175.0,7533.5
