matricula,data_evento,tipo_desligamento,motivo_desligamento,id_area,criticidade_area,grade,salario,meses_de_casa,aviso_previo,ferias_proporcionais,decimo_terceiro_prop,multa_fgts,custo_rescisao,multiplo_reposicao,custo_reposicao,custo_total_desligamento
100024,2021-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,2,Média,3,4521.8,34.07,4521.8,5057.89,376.82,0.0,13520.94,4.0,18087.2,31608.14
100031,2021-01-01,Involuntário,Dispensa sem justa causa - fim de projeto,5,Baixa,2,3399.03,24.01,3399.03,5.46,283.25,2612.03,7619.98,2.5,8497.58,16117.56
100043,2021-01-01,Voluntário,Pedido de demissão - motivos pessoais,11,Alta,2,5167.88,11.01,5167.88,6319.32,430.66,0.0,16184.44,6.0,31007.28,47191.72
100048,2021-01-01,Voluntário,Pedido de demissão - proposta externa,7,Alta,6,18130.84,24.01,18130.84,29.12,1510.9,0.0,26713.03,6.0,108785.04,135498.07
100053,2021-01-01,Voluntário,Pedido de demissão - motivos pessoais,8,Alta,3,9128.56,17.05,9128.56,5122.07,760.71,0.0,20385.4,6.0,54771.36,75156.76
100112,2021-01-01,Voluntário,Pedido de demissão - insatisfação com liderança,13,Média,6,13521.22,2.0,13521.22,3010.64,1126.77,0.0,23980.41,4.0,54084.88,78065.29
100113,2021-01-01,Involuntário,Dispensa sem justa causa - reestruturação,12,Média,5,14026.04,4.01,14026.04,6246.08,1168.84,1798.87,30915.7,4.0,56104.16,87019.86
100148,2021-01-01,Voluntário,Pedido de demissão - remuneração,7,Alta,1,3473.18,7.03,3473.18,2713.03,289.43,0.0,8793.92,6.0,20839.08,29633.0
100188,2021-01-01,Voluntário,Pedido de demissão - proposta externa,2,Média,2,3900.88,4.01,3900.88,1737.14,325.07,0.0,8097.88,4.0,15603.52,23701.4
100209,2021-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,7,Alta,5,18163.88,15.05,18163.88,6147.45,1513.66,0.0,35070.33,6.0,108983.28,144053.61
100305,2021-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,1,Alta,2,4850.34,24.01,4850.34,7.79,404.2,0.0,7146.24,6.0,29102.04,36248.28
100347,2021-01-01,Voluntário,Pedido de demissão - insatisfação com liderança,1,Alta,3,6692.92,36.01,6692.92,3.91,557.74,0.0,9851.71,6.0,40157.52,50009.23
100417,2021-01-01,Involuntário,Dispensa sem justa causa - fim de projeto,2,Média,4,12275.49,79.04,12275.49,9603.16,1022.96,31048.44,62148.83,4.0,49101.96,111250.79
100443,2021-01-01,Voluntário,Pedido de demissão - motivos pessoais,3,Média,1,2455.49,10.05,2455.49,2742.66,204.62,0.0,7336.97,4.0,9821.96,17158.93
100496,2021-01-01,Involuntário,Dispensa sem justa causa - reestruturação,13,Média,6,11665.82,90.05,11665.82,7836.83,972.15,33614.73,61419.51,4.0,46663.28,108082.79
100589,2021-01-01,Voluntário,Pedido de demissão - remuneração,2,Média,1,2970.89,5.03,2970.89,1659.17,247.57,0.0,6623.83,4.0,11883.56,18507.39
100623,2021-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,5,Baixa,2,2675.28,3.02,2675.28,898.4,222.94,0.0,5155.81,2.5,6688.2,11844.01
100652,2021-01-01,Voluntário,Pedido de demissão - remuneração,3,Média,2,3199.64,11.01,3199.64,3912.54,266.64,0.0,10020.43,4.0,12798.56,22818.99
100657,2021-01-01,Voluntário,Pedido de demissão - insatisfação com liderança,3,Média,1,2296.28,40.01,2296.28,1023.92,191.36,0.0,4768.7,4.0,9185.12,13953.82
100659,2021-01-01,Involuntário,Dispensa sem justa causa - fim de projeto,6,Média,2,3828.83,21.06,3828.83,3853.43,319.07,2580.06,13445.86,4.0,15315.32,28761.18
100670,2021-01-01,Voluntário,Pedido de demissão - insatisfação com liderança,2,Média,2,2800.23,36.01,2800.23,1.64,233.35,0.0,4121.83,4.0,11200.92,15322.75
100788,2021-01-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,6,Média,4,7799.66,7.03,7799.66,6092.59,649.97,0.0,19748.34,4.0,31198.64,50946.98
