id_mes,data_referencia,matricula,id_area,grade,familia_cargo,id_gestor,modelo_trabalho,salario,compa_ratio,performance,meses_de_casa,meses_sem_promocao,num_promocoes,idade,horas_extras,id_cargo
202101,2021-01-01,100001,4,6,Operações,101114,Presencial,19011.13,1.3202,3,91.0,59.0,1,48,12.0,OPE-6
202101,2021-01-01,100002,2,3,Comercial,101339,Presencial,7440.14,1.0406,3,24.0,9.0,0,48,7.4,COM-3
202101,2021-01-01,100003,2,2,Comercial,100375,Híbrido,4471.03,0.9678,3,12.0,0.0,0,22,12.7,COM-2
202101,2021-01-01,100004,4,5,Operações,100356,Presencial,10813.63,0.89,3,23.0,3.0,0,42,0.9,OPE-5
202101,2021-01-01,100005,7,3,Tecnologia,100199,Remoto,8711.76,0.9928,3,7.0,3.0,0,24,2.3,TEC-3
202101,2021-01-01,100006,5,1,Operações,100625,Presencial,2072.38,0.8224,4,11.0,2.0,0,28,14.2,OPE-1
202101,2021-01-01,100007,4,3,Operações,100564,Presencial,5522.14,0.944,3,13.0,12.0,0,36,4.5,OPE-3
202101,2021-01-01,100008,1,4,Comercial,100651,Presencial,11515.85,1.102,3,129.0,2.0,1,50,4.4,COM-4
202101,2021-01-01,100009,11,6,Financeiro,100009,Híbrido,21041.55,1.1436,4,53.0,41.0,1,41,16.9,FIN-6
202101,2021-01-01,100010,2,2,Comercial,101339,Híbrido,4229.75,0.9155,5,41.0,27.0,1,22,10.2,COM-2
202101,2021-01-01,100011,12,1,Financeiro,100151,Híbrido,3716.03,1.154,4,39.0,24.0,0,29,4.9,FIN-1
202101,2021-01-01,100012,4,3,Operações,100576,Presencial,4778.23,0.8168,3,19.1,5.0,0,26,14.2,OPE-3
202101,2021-01-01,100013,1,1,Comercial,101112,Híbrido,3107.13,1.0088,2,19.1,10.1,0,34,3.4,COM-1
202101,2021-01-01,100014,1,7,Comercial,100014,Híbrido,17282.49,0.6546,3,36.0,15.0,1,39,7.5,COM-7
202101,2021-01-01,100015,4,2,Operações,100576,Presencial,3599.07,0.9521,3,11.0,8.0,0,38,15.6,OPE-2
202101,2021-01-01,100016,6,1,Operações,100550,Presencial,2741.36,1.0878,3,1.0,1.0,0,26,12.4,OPE-1
202101,2021-01-01,100017,8,5,Tecnologia,100348,Remoto,18196.45,0.9984,3,37.0,35.0,1,43,1.3,TEC-5
202101,2021-01-01,100018,7,3,Tecnologia,100283,Remoto,8546.48,0.974,3,22.1,6.0,0,35,21.4,TEC-3
202101,2021-01-01,100019,3,5,Atendimento,100271,Presencial,10663.74,0.9874,4,12.0,2.0,0,41,7.2,ATE-5
202101,2021-01-01,100020,1,2,Comercial,100998,Presencial,4533.9,0.9814,3,82.1,44.1,1,25,18.8,COM-2
202101,2021-01-01,100021,7,7,Tecnologia,100021,Híbrido,33618.29,1.0376,3,56.0,39.0,0,53,25.6,TEC-7
202101,2021-01-01,100022,2,4,Comercial,101339,Presencial,8781.46,0.8403,3,43.0,25.0,1,36,5.7,COM-4
202101,2021-01-01,100023,6,5,Operações,100040,Presencial,8904.81,0.7329,3,57.0,3.0,2,31,2.1,OPE-5
202101,2021-01-01,100025,2,1,Comercial,100878,Presencial,3174.26,1.0306,3,8.0,2.0,0,22,3.4,COM-1
202101,2021-01-01,100026,5,3,Operações,100082,Presencial,5172.42,0.8842,3,11.0,10.1,0,35,29.2,OPE-3
202101,2021-01-01,100027,4,4,Operações,100050,Presencial,7871.38,0.9206,3,73.0,37.0,1,41,6.0,OPE-4
202101,2021-01-01,100028,12,4,Financeiro,100076,Híbrido,10413.98,0.9532,4,26.0,13.0,0,43,1.2,FIN-4
202101,2021-01-01,100029,14,4,Jurídico,100409,Presencial,9374.3,0.8223,3,153.0,41.0,2,38,3.8,JUR-4
202101,2021-01-01,100030,11,5,Financeiro,100009,Híbrido,12750.85,0.8213,3,98.0,36.0,2,56,4.3,FIN-5
202101,2021-01-01,100032,3,2,Atendimento,100268,Híbrido,3529.66,1.0505,3,27.0,26.0,0,34,6.5,ATE-2
202101,2021-01-01,100033,1,7,Comercial,100014,Presencial,20237.86,0.7666,2,60.0,52.0,1,42,5.1,COM-7
202101,2021-01-01,100034,5,2,Operações,101037,Presencial,3964.17,1.0487,4,18.1,2.0,0,31,4.0,OPE-2
202101,2021-01-01,100035,2,1,Comercial,101339,Presencial,2393.33,0.7771,4,1.0,0.0,0,33,17.6,COM-1
202101,2021-01-01,100036,2,3,Comercial,100256,Presencial,5924.85,0.8287,2,38.0,38.0,1,22,1.7,COM-3
202101,2021-01-01,100037,15,3,Marketing,101371,Presencial,6008.7,0.9244,3,1.0,1.0,0,31,18.8,MAR-3
202101,2021-01-01,100038,7,6,Tecnologia,100316,Presencial,22684.37,1.0502,3,49.0,10.1,2,39,1.4,TEC-6
202101,2021-01-01,100039,11,3,Financeiro,100009,Remoto,6705.26,0.897,3,70.1,37.0,1,38,10.5,FIN-3
202101,2021-01-01,100040,6,6,Operações,100040,Presencial,12900.33,0.8959,3,25.0,1.0,1,43,1.2,OPE-6
202101,2021-01-01,100041,7,4,Tecnologia,100021,Remoto,9610.8,0.7494,3,64.0,15.0,1,37,0.6,TEC-4
