matricula,data_evento,tipo_evento,id_area,grade,salario_anterior,salario_novo,variacao_pct,detalhe
100005,2021-01-01,Dissídio,7,3,8203.17,8711.76,0.062,SINDPD
100009,2021-01-01,Dissídio,11,6,19813.13,21041.55,0.062,SINDCONT
100011,2021-01-01,Dissídio,12,1,3499.09,3716.03,0.062,SINDCONT
100017,2021-01-01,Dissídio,8,5,17134.13,18196.45,0.062,SINDPD
100018,2021-01-01,Dissídio,7,3,8047.53,8546.48,0.062,SINDPD
100021,2021-01-01,Dissídio,7,7,31655.64,33618.29,0.062,SINDPD
100028,2021-01-01,Dissídio,12,4,9806.01,10413.98,0.062,SINDCONT
100030,2021-01-01,Dissídio,11,5,12006.45,12750.85,0.062,SINDCONT
100038,2021-01-01,Dissídio,7,6,21360.05,22684.37,0.062,SINDPD
100039,2021-01-01,Dissídio,11,3,6313.81,6705.26,0.061999,SINDCONT
100041,2021-01-01,Dissídio,7,4,9049.71,9610.8,0.062,SINDPD
100043,2021-01-01,Dissídio,11,2,4866.18,5167.88,0.062,SINDCONT
100048,2021-01-01,Dissídio,7,6,17072.36,18130.84,0.062,SINDPD
100049,2021-01-01,Dissídio,12,5,16601.46,17630.75,0.062,SINDCONT
100051,2021-01-01,Dissídio,7,3,8558.36,9088.98,0.062001,SINDPD
100052,2021-01-01,Dissídio,11,1,2857.7,3034.88,0.062001,SINDCONT
100053,2021-01-01,Dissídio,8,3,8595.63,9128.56,0.062,SINDPD
100054,2021-01-01,Dissídio,11,3,6904.31,7332.37,0.062,SINDCONT
100056,2021-01-01,Dissídio,10,2,4464.97,4741.8,0.062,SINDCONT
100058,2021-01-01,Dissídio,12,6,19927.28,21162.78,0.062,SINDCONT
100059,2021-01-01,Dissídio,7,1,4014.61,4263.51,0.062,SINDPD
100063,2021-01-01,Dissídio,12,3,7059.53,7497.22,0.062,SINDCONT
100064,2021-01-01,Dissídio,7,4,10748.83,11415.26,0.062,SINDPD
100068,2021-01-01,Dissídio,8,1,3946.24,4190.91,0.062,SINDPD
100071,2021-01-01,Dissídio,9,4,12149.82,12903.11,0.062,SINDPD
100072,2021-01-01,Dissídio,9,2,5261.34,5587.54,0.062,SINDPD
100075,2021-01-01,Dissídio,10,3,5921.36,6288.48,0.062,SINDCONT
100076,2021-01-01,Dissídio,12,6,15848.59,16831.21,0.062,SINDCONT
100078,2021-01-01,Dissídio,8,2,4458.57,4735.01,0.062001,SINDPD
100086,2021-01-01,Dissídio,7,1,2846.24,3022.7,0.061999,SINDPD
100089,2021-01-01,Dissídio,8,2,4672.12,4961.79,0.062,SINDPD
100094,2021-01-01,Dissídio,7,7,37071.48,39369.91,0.062,SINDPD
100110,2021-01-01,Dissídio,7,3,7305.29,7758.22,0.062,SINDPD
100111,2021-01-01,Dissídio,9,2,5540.87,5884.41,0.062,SINDPD
100113,2021-01-01,Dissídio,12,5,13207.2,14026.04,0.062,SINDCONT
100120,2021-01-01,Dissídio,10,2,3857.6,4096.77,0.061999,SINDCONT
100121,2021-01-01,Dissídio,9,4,13921.35,14784.47,0.062,SINDPD
100124,2021-01-01,Dissídio,10,7,31869.52,33845.43,0.062,SINDCONT
100125,2021-01-01,Dissídio,10,1,2741.51,2911.48,0.062001,SINDCONT
100126,2021-01-01,Dissídio,11,3,7299.27,7751.83,0.062001,SINDCONT
100134,2021-01-01,Dissídio,9,5,15762.1,16739.35,0.062,SINDPD
100135,2021-01-01,Dissídio,8,6,20707.35,21991.2,0.062,SINDPD
100140,2021-01-01,Dissídio,7,6,19507.87,20717.36,0.062,SINDPD
100144,2021-01-01,Dissídio,9,5,17385.96,18463.89,0.062,SINDPD
100146,2021-01-01,Dissídio,8,6,20380.92,21644.54,0.062,SINDPD
