id_gestor,efeito_latente_log_odds
100014,-0.4077
100033,-0.5937
100067,0.1595
100510,-0.6711
100639,0.6253
100651,0.6153
100676,0.4153
100750,-0.0045
100933,0.6659
100998,0.5382
101078,-0.2131
101086,0.5755
101112,-0.3647
101327,-0.0788
100284,-0.4204
100377,0.0477
100448,-0.4303
100586,-0.0165
100743,-0.4215
100777,-0.1602
100878,-0.2704
101038,-0.3186
101219,-0.0349
101339,-0.9695
100256,-0.721
100354,0.3215
100375,0.059
100447,-0.2893
100057,-0.4613
100137,0.0944
100152,-0.1014
100251,-0.1681
100268,-0.2764
100269,-0.2503
100271,0.5023
100401,-0.1456
100429,0.4575
100474,0.0524
100492,-0.4531
100050,-0.2735
100356,0.3031
100378,-0.6255
100421,-0.3012
100557,1.0646
100564,-0.1324
100576,0.4331
100695,0.6002
100699,-0.3634
100792,0.1065
100860,0.8235
101114,0.1838
100082,0.0543
100153,0.4879
100212,0.1007
100213,-0.2705
100220,0.0754
100520,-0.6045
100527,-0.9247
100614,0.2573
100625,0.4073
100641,0.0289
100951,-0.1565
100955,-0.5367
101011,0.4668
101037,0.197
100040,-0.3726
100045,0.0772
100550,-0.0812
100598,-0.5314
100672,0.536
100021,-0.3297
100094,-0.586
100199,0.188
100283,0.173
100287,0.045
100316,0.3732
100387,-0.0811
100394,0.1125
100444,-0.14
100692,-0.1034
100881,0.1361
100135,-0.2927
100146,0.4752
100348,0.2579
100607,0.3137
100685,-0.4798
101299,0.8675
100134,0.2198
100144,-0.1864
100681,0.0273
100124,0.227
100204,-0.3212
100402,0.2589
100508,0.3979
100664,0.1476
100009,0.0554
100793,0.3324
100847,-0.1122
100058,0.1555
100076,-0.3678
100151,-1.7028
100128,0.5411
100303,-0.1559
100313,0.1968
100391,-0.4072
100526,0.0144
100409,-0.0937
101371,-0.4712
101403,-0.8648
100529,-0.5415
100173,-0.7476
100445,-0.6956
100518,0.2319
101126,0.1758
100561,0.033
101051,0.4599
101153,0.0533
100154,0.2586
101546,-0.1865
100728,-0.5422
101135,0.0153
101560,0.002
100001,0.0371
100840,-0.4187
100865,0.0536
100693,-0.4357
100696,0.6105
100943,0.1701
101318,0.0247
101754,0.3666
101144,0.1588
101328,-0.0393
101867,-0.544
101104,0.0095
101165,0.0473
100930,0.2608
101358,-0.4891
100242,0.0217
101903,0.0409
100937,0.2629
101337,-0.2187
100147,0.5142
101744,-0.3784
100712,0.7242
101230,-0.3445
100642,0.0796
101747,0.0362
100570,0.4653
102156,0.3302
100855,-0.0257
100292,-0.0433
100306,-0.2989
100964,0.5097
101752,0.6691
100781,-0.3737
102238,0.3217
100318,-0.0563
100765,-0.2604
102287,0.9723
102323,0.194
102093,-0.119
100343,-0.2491
101974,-0.2738
101256,-0.4658
101109,0.2533
100667,-0.6353
102421,0.2209
102023,0.2205
100087,0.1039
100700,0.111
102496,0.3619
102553,-0.1087
102008,0.4508
100232,-0.3691
100790,-0.7382
100038,1.0987
101303,0.3737
101003,0.2618
102549,-0.7722
100903,0.1603
100140,0.3911
101326,-0.4557
102769,0.2441
101032,-0.0188
102824,0.0079
100892,0.3334
100711,-0.1255
102861,-0.4396
102902,0.6064
100338,-0.1686
